x,y,z
-0.016601562,0.45947263,0.92626953
-0.010253906,0.45214844,0.9121093
-0.008300781,0.45458984,0.90869135
-0.003417969,0.45117188,0.90966797
0.0053710938,0.44921875,0.8935547
-0.0014648438,0.4472656,0.88769525
0.0029296875,0.44970706,0.8847656
-0.0024414062,0.44677734,0.8779297
-0.0087890625,0.4550781,0.8574219
-0.009765625,0.44970706,0.84814453
-0.013183595,0.4501953,0.8466797
-0.02636719,0.45458984,0.83447266
-0.027343752,0.45068362,0.8266601
-0.033203125,0.4462891,0.81787103
-0.04736328,0.39794922,0.79785156
-0.055664066,0.43652344,0.79345703
-0.07519531,0.45947263,0.79296875
-0.0859375,0.4750977,0.79003906
-0.10449219,0.4838867,0.7988281
-0.10839844,0.4897461,0.80615234
-0.11328125,0.4907227,0.8149414
-0.12011718,0.48876953,0.82275397
-0.12548828,0.49169925,0.82910156
-0.12548828,0.49658203,0.81884766
-0.13476562,0.49804688,0.8183594
-0.13623047,0.5029297,0.80615234
-0.14648438,0.50146484,0.7861328
-0.15625,0.49902344,0.77441406
-0.16455078,0.5078125,0.7651367
-0.20117188,0.5151367,0.7602539
-0.21484376,0.5126953,0.75878906
-0.24755861,0.52197266,0.7578125
-0.26660156,0.53027344,0.7470703
-0.29101562,0.5292969,0.76708984
-0.31201172,0.5307617,0.7578125
-0.3310547,0.5317383,0.7597656
-0.34716797,0.52978516,0.7470703
-0.36279297,0.5263672,0.7475586
-0.3701172,0.5288086,0.7314453
-0.38671875,0.52490234,0.7246094
-0.39013672,0.5151367,0.7182617
-0.39111328,0.51464844,0.7211914
-0.38232422,0.5126953,0.72265625
-0.37158203,0.49658203,0.7319336
-0.3564453,0.49267575,0.7368164
-0.3413086,0.4921875,0.75146484
-0.3232422,0.4750977,0.7651367
-0.3173828,0.46142578,0.7832031
-0.35888672,0.44873047,0.7963867
-0.3154297,0.44335938,0.819336
-0.2763672,0.4384766,0.84179693
-0.26220703,0.42822266,0.86669916
-0.23583983,0.418457,0.88769525
-0.2265625,0.41210938,0.90771484
