x,y,z
-0.3310547,0.25732422,0.8359375
-0.33447266,0.24560547,0.8071289
-0.328125,0.23779297,0.7753906
-0.4477539,0.3408203,0.6845703
-0.4384766,0.32763672,0.6894531
-0.42822266,0.31201172,0.7182617
-0.44335938,0.30664062,0.7402344
-0.4472656,0.28857422,0.76953125
-0.4550781,0.27539062,0.78808594
-0.4711914,0.265625,0.80615234
-0.4897461,0.2602539,0.7944336
-0.48779297,0.2607422,0.80566406
-0.4975586,0.24902344,0.82421875
-0.5102539,0.23583983,0.866211
-0.5073242,0.22167969,0.9003906
-0.50683594,0.19433594,0.9423828
-0.5029297,0.1821289,0.97021484
-0.5004883,0.16308594,1.0063477
-0.49609372,0.122558594,1.0263672
-0.5053711,0.09814453,1.0605469
-0.50634766,0.064453125,1.1298828
-0.50683594,0.04296875,1.2006836
-0.46533203,9.765625E-4,1.4111328
-0.3852539,-0.047851562,1.6318358
-0.28955078,-0.10205078,1.8359375
-0.23291016,-0.13574219,1.9335938
-0.22509766,-0.15576172,1.9072267
-0.2607422,-0.15039062,1.8125
-0.26464844,-0.16357422,1.654785
-0.27783203,-0.16210938,1.5205078
-0.3173828,-0.15966797,1.4213867
-0.35546875,-0.11425781,1.3466797
-0.3852539,-0.008300781,1.3300781
-0.40234375,0.013671876,1.2338867
-0.4038086,0.02636719,1.1811523
-0.41015625,0.05175781,1.1547852
-0.3935547,0.057617188,1.0927734
-0.40039062,0.076171875,1.0766602
-0.39697266,0.088378906,1.0449219
-0.38330078,0.10058594,1.0112305
-0.39111328,0.11230469,0.9780274
-0.37841797,0.12109375,0.94433594
-0.37109375,0.12695312,0.9165039
-0.34765625,0.122070305,0.8955078
-0.3486328,0.12597656,0.9028321
-0.328125,0.125,0.91699225
-0.31396484,0.12011718,0.93847656
-0.28320312,0.10839844,0.953125
-0.26220703,0.08886719,0.98193353
-0.24316408,0.08251953,1.0048828
-0.22949219,0.08105469,1.0439453
-0.22216797,0.076171875,1.0805664
-0.21386719,0.07861328,1.105957
-0.22167969,0.08154297,1.1352539
-0.23388672,0.0859375,1.171875
-0.25097656,0.10351562,1.1953125
-0.2763672,0.11035156,1.21875
-0.30517578,0.13085938,1.2304688
-0.33007812,0.12792969,1.2421875
-0.35009766,0.14746094,1.2568359
-0.359375,0.15283203,1.2583008
-0.36523438,0.14990234,1.2539062
-0.37890625,0.14990234,1.246582
-0.39013672,0.14013672,1.2436523
-0.390625,0.12695312,1.2182617
-0.3803711,0.11425781,1.1791992
-0.3876953,0.1015625,1.144043
-0.39111328,0.08642578,1.152832
-0.3876953,0.0703125,1.1450195
-0.39501953,0.05078125,1.1186523
-0.43603516,0.021972656,1.0356445
-0.5136719,-0.011230469,0.93457025
-0.52197266,-0.041503906,0.90527344
-0.43359375,-0.087402344,0.97021484
-0.34228516,-0.13085938,1.0273438
-0.2783203,-0.16845703,0.98046875
-0.25878906,-0.18359375,0.8891602
-0.26904297,-0.18603516,0.78515625
-0.2758789,-0.17822266,0.68652344
-0.296875,-0.17138672,0.5888672
-0.32421875,-0.16894531,0.52490234
-0.33496094,-0.171875,0.4829102
-0.3466797,-0.17285156,0.44824216
-0.3359375,-0.18408203,0.41357422
-0.33789062,-0.18554688,0.36035156
-0.35107422,-0.16748047,0.2685547
-0.35546875,-0.14257812,0.07910156
-0.36328125,-0.099609375,-0.08300781
-0.375,-0.037109375,-0.06542969
-0.41015625,0.054687504,0.08544922
-0.42138672,0.14501953,0.19580078
-0.42871094,0.23632811,0.22949219
-0.41992188,0.3022461,0.24853514
-0.425293,0.34814453,0.25634766
-0.4189453,0.3876953,0.2919922
-0.39453125,0.38964844,0.33398438
-0.3701172,0.38916016,0.33642578
-0.3955078,0.39697266,0.30371094
-0.42871094,0.40283203,0.29833984
-0.4555664,0.42187503,0.3330078
-0.44824216,0.4111328,0.39160156
-0.4345703,0.4013672,0.44970706
-0.40576172,0.38085938,0.5029297
-0.38378906,0.37304688,0.52783203
-0.35253906,0.35986328,0.5307617
-0.33154297,0.35351562,0.54003906
-0.31347656,0.3388672,0.54589844
-0.29492188,0.3408203,0.56640625
-0.2680664,0.3334961,0.60546875
-0.23974611,0.3383789,0.6923828
-0.2368164,0.34960938,0.73779297
