x,y,z
-0.027832033,0.171875,1.0102539
-0.020507812,0.17675781,1.0014648
-0.025390625,0.17529297,1.0068359
-0.022460938,0.17822266,1.0063477
-0.02685547,0.17919922,1.0073242
-0.019042969,0.1796875,1.0097656
-0.02636719,0.17822266,1.0166016
-0.019042969,0.17871094,1.0078125
-0.025390625,0.18164062,1.0107422
-0.017578125,0.17773438,1.0141602
-0.022949219,0.18066406,1.0043945
-0.018554688,0.17675781,1.0083008
-0.018554688,0.17578125,1.0039062
-0.018554688,0.18066406,1.0092773
-0.017089844,0.18066406,0.99853516
-0.020507812,0.18310547,0.9956055
-0.013183595,0.18164062,0.9951172
-0.015136719,0.18359375,0.9897461
-0.019042969,0.17529297,0.98046875
-0.022949219,0.18359375,0.9780274
-0.017578125,0.18164062,0.97851557
-0.024902344,0.17333984,0.97021484
-0.016601562,0.17626953,0.9794922
-0.025390625,0.1743164,0.97509766
-0.017578125,0.1743164,0.9716797
-0.023925781,0.17626953,0.9726563
-0.019042969,0.17626953,0.98193353
-0.022460938,0.16992188,0.9736328
-0.027343752,0.17382812,0.9799804
-0.021484375,0.17529297,0.98193353
-0.025390625,0.17089844,0.9853515
-0.027832033,0.17236328,0.99121094
-0.02636719,0.17626953,0.98486334
-0.025878904,0.1694336,0.99023443
-0.019042969,0.17822266,0.98583984
-0.022949219,0.17529297,0.99023443
-0.025878904,0.17529297,0.98486334
-0.02685547,0.17675781,0.98046875
-0.03125,0.1796875,0.984375
-0.032226562,0.1772461,0.9873047
-0.027832033,0.17333984,0.9863281
-0.024902344,0.18115234,0.9838867
-0.030761719,0.17822266,0.99316406
-0.033691406,0.18310547,0.9936524
-0.032714844,0.1796875,0.98193353
-0.033691406,0.18115234,0.9824219
-0.03466797,0.18115234,0.9892578
-0.029785156,0.18017578,0.99023443
-0.029785156,0.17382812,0.99121094
-0.022460938,0.17871094,0.9907226
-0.032714844,0.17919922,0.99853516
-0.030761719,0.17626953,0.9907226
-0.027343752,0.1743164,1.0004883
-0.032226562,0.1821289,1.0043945
-0.037597656,0.17333984,1.0024414
-0.027343752,0.17285156,0.99609375
-0.027343752,0.17138672,0.9936524
-0.02685547,0.17089844,0.9990235
-0.027832033,0.17626953,0.99658203
-0.025390625,0.16601562,0.99658203
-0.021972656,0.1665039,0.99853516
-0.029785156,0.16894531,0.99609375
-0.024414062,0.1640625,0.9853515
-0.03125,0.16455078,0.99316406
-0.028808594,0.15820312,0.9887695
-0.032714844,0.15966797,0.9887695
-0.028808594,0.17041016,0.99121094
-0.027343752,0.1616211,0.98486334
-0.021484375,0.16748047,0.984375
-0.020996094,0.16357422,0.9731445
-0.019042969,0.16064453,0.97119147
-0.025390625,0.16357422,0.97119147
-0.024902344,0.16699219,0.96728516
-0.020507812,0.16357422,0.9682617
-0.021484375,0.1694336,0.97558594
-0.017089844,0.16894531,0.9824219
-0.024414062,0.171875,0.9736328
-0.024902344,0.17041016,0.9853515
-0.020996094,0.17285156,0.98046875
-0.018554688,0.17285156,0.97656244
-0.030761719,0.17480469,0.9790039
-0.022949219,0.17578125,0.9833985
-0.023925781,0.18359375,0.97753906
-0.029785156,0.17333984,0.9838867
-0.020019531,0.1796875,0.98486334
-0.025878904,0.17626953,0.98828125
